Out,In
Larch120.LCL,TreedFen.LCI
Larch120.UCL,TreedFen.UCI
Larch140,TreedFen
Larch140.LCL,TreedFen.LCI
Larch140.UCL,TreedFen.UCI
WhiteSpruceCC0,CCWhiteSpruceR
WhiteSpruceCC0.LCL,CCWhiteSpruceR.LCI
WhiteSpruceCC0.UCL,CCWhiteSpruceR.UCI
WhiteSpruceCC10,CCWhiteSpruce1
WhiteSpruceCC10.LCL,CCWhiteSpruce1.LCI
WhiteSpruceCC10.UCL,CCWhiteSpruce1.UCI
WhiteSpruceCC20,CCWhiteSpruce2
WhiteSpruceCC20.LCL,CCWhiteSpruce2.LCI
WhiteSpruceCC20.UCL,CCWhiteSpruce2.UCI
WhiteSpruceCC40,CCWhiteSpruce3
WhiteSpruceCC40.LCL,CCWhiteSpruce3.LCI
WhiteSpruceCC40.UCL,CCWhiteSpruce3.UCI
WhiteSpruceCC60,CCWhiteSpruce4
WhiteSpruceCC60.LCL,CCWhiteSpruce4.LCI
WhiteSpruceCC60.UCL,CCWhiteSpruce4.UCI
PineCC0,CCPineR
PineCC0.LCL,CCPineR.LCI
PineCC0.UCL,CCPineR.UCI
PineCC10,CCPine1
PineCC10.LCL,CCPine1.LCI
PineCC10.UCL,CCPine1.UCI
PineCC20,CCPine2
PineCC20.LCL,CCPine2.LCI
PineCC20.UCL,CCPine2.UCI
PineCC40,CCPine3
PineCC40.LCL,CCPine3.LCI
PineCC40.UCL,CCPine3.UCI
PineCC60,CCPine4
PineCC60.LCL,CCPine4.LCI
PineCC60.UCL,CCPine4.UCI
DeciduousCC0,CCDeciduousR
DeciduousCC0.LCL,CCDeciduousR.LCI
DeciduousCC0.UCL,CCDeciduousR.UCI
DeciduousCC10,CCDeciduous1
DeciduousCC10.LCL,CCDeciduous1.LCI
DeciduousCC10.UCL,CCDeciduous1.UCI
DeciduousCC20,CCDeciduous2
DeciduousCC20.LCL,CCDeciduous2.LCI
DeciduousCC20.UCL,CCDeciduous2.UCI
DeciduousCC40,CCDeciduous3
DeciduousCC40.LCL,CCDeciduous3.LCI
DeciduousCC40.UCL,CCDeciduous3.UCI
DeciduousCC60,CCDeciduous4
DeciduousCC60.LCL,CCDeciduous4.LCI
DeciduousCC60.UCL,CCDeciduous4.UCI
MixedwoodCC0,CCDeciduousR
MixedwoodCC0.LCL,CCDeciduousR.LCI
MixedwoodCC0.UCL,CCDeciduousR.UCI
MixedwoodCC10,CCDeciduous1
MixedwoodCC10.LCL,CCDeciduous1.LCI
MixedwoodCC10.UCL,CCDeciduous1.UCI
MixedwoodCC20,CCDeciduous2
MixedwoodCC20.LCL,CCDeciduous2.LCI
MixedwoodCC20.UCL,CCDeciduous2.UCI
MixedwoodCC40,CCDeciduous3
MixedwoodCC40.LCL,CCDeciduous3.LCI
MixedwoodCC40.UCL,CCDeciduous3.UCI
MixedwoodCC60,CCDeciduous4
MixedwoodCC60.LCL,CCDeciduous4.LCI
MixedwoodCC60.UCL,CCDeciduous4.UCI
Swamp,TreeShrubSwamp
Swamp.LCL,TreeShrubSwamp.LCI
Swamp.UCL,TreeShrubSwamp.UCI
WetGrass,NonTreeFenMarsh
WetGrass.LCL,NonTreeFenMarsh.LCI
WetGrass.UCL,NonTreeFenMarsh.UCI
WetShrub,TreeShrubSwamp
WetShrub.LCL,TreeShrubSwamp.LCI
WetShrub.UCL,TreeShrubSwamp.UCI
Shrub,Shrub
Shrub.LCL,Shrub.LCI
Shrub.UCL,Shrub.UCI
GrassHerb,Grass
GrassHerb.LCL,Grass.LCI
GrassHerb.UCL,Grass.UCI
Cult,Cult
Cult.LCL,Cult.LCI
Cult.UCL,Cult.UCI
UrbInd,UrbInd
UrbInd.LCL,UrbInd.LCI
UrbInd.UCL,UrbInd.UCI
