(Intercept),hab1Mixwood,hab1Conif,hab1Pine,hab1BSpr,hab1Larch,hab1Wetland,hab1Shrub,hab1GrassHerb,hab1Cult,hab1UrbInd,hab1bMixwood,hab1bConif,hab1bPine,hab1bBSpr,hab1bLarch,hab1bWetland,hab1bShrub,hab1bGrassHerb,hab1bCult,hab1bUrbInd,hab1bBurn,wtAge,wtAge2,wtAge05,fCC2,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05
Conif5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0.4,0.16,0.4,0,0.16,0,0,0,0.4,0,0,0.16,0.632455532,0.632455532,0,0,0,0.632455532
Conif6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0.5,0.25,0.5,0,0.25,0,0,0,0.5,0,0,0.25,0.707106781,0.707106781,0,0,0,0.707106781
Conif7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0.6,0.36,0.6,0,0.36,0,0,0,0.6,0,0,0.36,0.774596669,0.774596669,0,0,0,0.774596669
Conif8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0.7,0.49,0.7,0,0.49,0,0,0,0.7,0,0,0.49,0.836660027,0.836660027,0,0,0,0.836660027
Conif9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0.8,0.64,0.8,0,0.64,0,0,0,0.8,0,0,0.64,0.894427191,0.894427191,0,0,0,0.894427191
PineR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pine1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0.05,0.0025,0.05,0,0.0025,0,0,0.05,0,0,0.0025,0,0.223606798,0.223606798,0,0,0.223606798,0
Pine2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0.1,0.01,0.1,0,0.01,0,0,0.1,0,0,0.01,0,0.316227766,0.316227766,0,0,0.316227766,0
Pine3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0.2,0.04,0.2,0,0.04,0,0,0.2,0,0,0.04,0,0.447213595,0.447213595,0,0,0.447213595,0
Pine4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0.3,0.09,0.3,0,0.09,0,0,0.3,0,0,0.09,0,0.547722558,0.547722558,0,0,0.547722558,0
Pine5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0.4,0.16,0.4,0,0.16,0,0,0.4,0,0,0.16,0,0.632455532,0.632455532,0,0,0.632455532,0
Pine6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0.5,0.25,0.5,0,0.25,0,0,0.5,0,0,0.25,0,0.707106781,0.707106781,0,0,0.707106781,0
Pine7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0.6,0.36,0.6,0,0.36,0,0,0.6,0,0,0.36,0,0.774596669,0.774596669,0,0,0.774596669,0
Pine8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0.7,0.49,0.7,0,0.49,0,0,0.7,0,0,0.49,0,0.836660027,0.836660027,0,0,0.836660027,0
Pine9,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0.8,0.64,0.8,0,0.64,0,0,0.8,0,0,0.64,0,0.894427191,0.894427191,0,0,0.894427191,0
BSprR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSpr1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0.05,0.0025,0,0.05,0,0.0025,0,0,0,0,0,0,0.223606798,0,0.223606798,0,0,0
BSpr2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0.1,0.01,0,0.1,0,0.01,0,0,0,0,0,0,0.316227766,0,0.316227766,0,0,0
BSpr3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0.2,0.04,0,0.2,0,0.04,0,0,0,0,0,0,0.447213595,0,0.447213595,0,0,0
BSpr4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0.3,0.09,0,0.3,0,0.09,0,0,0,0,0,0,0.547722558,0,0.547722558,0,0,0
BSpr5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0.4,0.16,0,0.4,0,0.16,0,0,0,0,0,0,0.632455532,0,0.632455532,0,0,0
BSpr6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0.5,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0.707106781,0,0.707106781,0,0,0
BSpr7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0.6,0.36,0,0.6,0,0.36,0,0,0,0,0,0,0.774596669,0,0.774596669,0,0,0
BSpr8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0.7,0.49,0,0.7,0,0.49,0,0,0,0,0,0,0.836660027,0,0.836660027,0,0,0
BSpr9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0.8,0.64,0,0.8,0,0.64,0,0,0,0,0,0,0.894427191,0,0.894427191,0,0,0
LarchR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larch1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0.05,0.0025,0,0.05,0,0.0025,0,0,0,0,0,0,0.223606798,0,0.223606798,0,0,0
Larch2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0.1,0.01,0,0.1,0,0.01,0,0,0,0,0,0,0.316227766,0,0.316227766,0,0,0
Larch3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0.2,0.04,0,0.2,0,0.04,0,0,0,0,0,0,0.447213595,0,0.447213595,0,0,0
