(Intercept),vegcShrubbySwamp,vegcShrubbyBog,vegcShrubbyFen,vegcTreedSwamp,vegcTreedBog,vegcCrop,vegcGraminoidFen,vegcGrassHerb,vegcIndustrial,vegcTreedFen,vegcMarsh,vegcMine,vegcMixedwood,vegcPine,vegcRoughP,vegcRural,vegcShrub,vegcSpruce,vegcTameP,vegcUrban,wtAge,wtAge2,wtAge05,fCC2,isCon:wtAge,isCon:wtAge2,isCon:wtAge05,isUpCon:wtAge,isUpCon:wtAge2,isUpCon:wtAge05,isBogFen:wtAge,isBogFen:wtAge2,isBogFen:wtAge05,isMix:wtAge,isMix:wtAge2,isMix:wtAge05,isPine:wtAge,isPine:wtAge2,isPine:wtAge05,isWSpruce:wtAge,isWSpruce:wtAge2,isWSpruce:wtAge05
Mixedwood9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0
TreedBogR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TreedBog1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0
TreedBog2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0
TreedBog3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0
TreedBog4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0
TreedBog5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0,0
TreedBog6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0,0
TreedBog7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0,0
TreedBog8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0,0
TreedBog9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0
TreedFenR,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TreedFen1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0
TreedFen2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0
TreedFen3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0
TreedFen4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0
TreedFen5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0.4,0.16,0.632455532,0,0,0,0,0,0,0,0,0
TreedFen6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0.5,0.25,0.707106781,0,0,0,0,0,0,0,0,0
TreedFen7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0.6,0.36,0.774596669,0,0,0,0,0,0,0,0,0
TreedFen8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0.7,0.49,0.836660027,0,0,0,0,0,0,0,0,0
TreedFen9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0.8,0.64,0.894427191,0,0,0,0,0,0,0,0,0
GrassHerb,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GraminoidFen,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marsh,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoughP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TameP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crop,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mine,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCSpruceR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCSpruce1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.05,0.0025,0.223606798,0.9265,0.05,0.0025,0.223606798,0.05,0.0025,0.223606798,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798
CCSpruce2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0.01,0.316227766,0.74,0.1,0.01,0.316227766,0.1,0.01,0.316227766,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766
CCSpruce3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.04,0.447213595,0.293,0.2,0.04,0.447213595,0.2,0.04,0.447213595,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595
CCSpruce4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,0.09,0.547722558,0.077,0.3,0.09,0.547722558,0.3,0.09,0.547722558,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558
CCPineR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCPine1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.9265,0.05,0.0025,0.223606798,0.05,0.0025,0.223606798,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0
CCPine2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.01,0.316227766,0.74,0.1,0.01,0.316227766,0.1,0.01,0.316227766,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0
CCPine3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.04,0.447213595,0.293,0.2,0.04,0.447213595,0.2,0.04,0.447213595,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0
CCPine4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.09,0.547722558,0.077,0.3,0.09,0.547722558,0.3,0.09,0.547722558,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0
CCDecidR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.7985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMixedwoodR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMixedwood1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.7985,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0,0,0,0,0,0
CCMixedwood2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.528,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0,0,0,0,0,0
CCMixedwood3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.15,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0,0,0,0,0,0
CCMixedwood4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.06,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0,0,0,0,0,0
ShrubbySwamp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShrubbyBog,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShrubbyFen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TreedSwamp,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
