VEGHFAGE,HF,VEGAGE,VEG,AGE,Broad,Type,TypeCC,WET,WATER,WETWATER,VEGAGE_use,AGE_Description,AgeMin,AgeMax,StructuralStage,EC_AGE,Category,HFtype,UseInAnalysis,SuccAlien,NonlinLin,UseInHFReporting,UseInReporting,Sector,Description,Sector2,Sector3,Combined,LevsForComp,LCC5
Swamp-Pine2,Swamp-Pine2,NA,Swamp-Pine2,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine2,Pine,5
Swamp-Pine3,Swamp-Pine3,NA,Swamp-Pine3,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine3,Pine,5
Swamp-Pine4,Swamp-Pine4,NA,Swamp-Pine4,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine4,Pine,5
Swamp-Pine5,Swamp-Pine5,NA,Swamp-Pine5,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine5,Pine,5
Swamp-Pine6,Swamp-Pine6,NA,Swamp-Pine6,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine6,Pine,5
Swamp-Pine7,Swamp-Pine7,NA,Swamp-Pine7,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine7,Pine,5
Swamp-Pine8,Swamp-Pine8,NA,Swamp-Pine8,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine8,Pine,5
Swamp-Pine9,Swamp-Pine9,NA,Swamp-Pine9,Swamp-Pine,,Swamp,Swamp,Swamp,1,0,1,Swamp,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),,NA,NA,Swamp,NA,NA,NA,NA,NA,NA,Pine,UpConif,Pine9,Pine,5
Wetland-Bare,Wetland-Bare,NA,Wetland-Bare,Wetland-Bare,,Wetland,XXX,XXX,1,0,1,NonVeg,,NA,NA,,,NA,NA,XXX,NA,NA,NA,NA,NA,NA,NonVeg,OpenOther,NonVeg,WetBare,5
Wetland-GrassHerb,Wetland-GrassHerb,NA,Wetland-GrassHerb,Wetland-GrassHerb,,Wetland,WetGrass,WetGrass,1,0,1,WetGrassHerb,,NA,NA,,,NA,NA,WetGrass,NA,NA,NA,NA,NA,NA,WetGrassHerb,Wet,WetGrassHerb,WetGrassHerb,5
Wetland-Shrub,Wetland-Shrub,NA,Wetland-Shrub,Wetland-Shrub,,Wetland,WetShrub,WetShrub,1,0,1,WetShrub,,NA,NA,,,NA,NA,WetShrub,NA,NA,NA,NA,NA,NA,WetShrub,Wet,WetShrub,WetShrub,5
Wetland-BSpr0,Wetland-BSpr0,NA,Wetland-BSpr0,Wetland-BSpr,0,Wetland,BSpr,BSpr,1,0,1,BSpr0,Unknown,NA,NA,Unknown,D,NA,NA,BSpr0,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr0,BSpr,1
Wetland-BSprR,Wetland-BSprR,NA,Wetland-BSprR,Wetland-BSpr,R,Wetland,BSpr,BSpr,1,0,1,BSprR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,BSprR,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSprR,BSpr,3
Wetland-BSpr1,Wetland-BSpr1,NA,Wetland-BSpr1,Wetland-BSpr,1,Wetland,BSpr,BSpr,1,0,1,BSpr1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,BSpr1,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr1,BSpr,3
Wetland-BSpr2,Wetland-BSpr2,NA,Wetland-BSpr2,Wetland-BSpr,2,Wetland,BSpr,BSpr,1,0,1,BSpr2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,BSpr2,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr2,BSpr,3
Wetland-BSpr3,Wetland-BSpr3,NA,Wetland-BSpr3,Wetland-BSpr,3,Wetland,BSpr,BSpr,1,0,1,BSpr3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,BSpr3,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr3,BSpr,1
Wetland-BSpr4,Wetland-BSpr4,NA,Wetland-BSpr4,Wetland-BSpr,4,Wetland,BSpr,BSpr,1,0,1,BSpr4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C,NA,NA,BSpr4,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr4,BSpr,1
Wetland-BSpr5,Wetland-BSpr5,NA,Wetland-BSpr5,Wetland-BSpr,5,Wetland,BSpr,BSpr,1,0,1,BSpr5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D,NA,NA,BSpr5,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr5,BSpr,1
Wetland-BSpr6,Wetland-BSpr6,NA,Wetland-BSpr6,Wetland-BSpr,6,Wetland,BSpr,BSpr,1,0,1,BSpr6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,BSpr6,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr6,BSpr,1
Wetland-BSpr7,Wetland-BSpr7,NA,Wetland-BSpr7,Wetland-BSpr,7,Wetland,BSpr,BSpr,1,0,1,BSpr7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,BSpr7,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr7,BSpr,1
Wetland-BSpr8,Wetland-BSpr8,NA,Wetland-BSpr8,Wetland-BSpr,8,Wetland,BSpr,BSpr,1,0,1,BSpr8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,BSpr8,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr8,BSpr,1
Wetland-BSpr9,Wetland-BSpr9,NA,Wetland-BSpr9,Wetland-BSpr,9,Wetland,BSpr,BSpr,1,0,1,BSpr9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,BSpr9,NA,NA,NA,NA,NA,NA,BSpr,LoConif,BSpr9,BSpr,1
Wetland-Decid0,Wetland-Decid0,NA,Wetland-Decid0,Wetland-Decid,0,Wetland,Larch,Larch,1,0,1,Larch0,Unknown,NA,NA,Unknown,D,NA,NA,Larch0,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid0,Decid,1
Wetland-DecidR,Wetland-DecidR,NA,Wetland-DecidR,Wetland-Decid,R,Wetland,Larch,Larch,1,0,1,LarchR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,LarchR,NA,NA,NA,NA,NA,NA,Decid,Decid,DecidR,Decid,3
Wetland-Decid1,Wetland-Decid1,NA,Wetland-Decid1,Wetland-Decid,1,Wetland,Larch,Larch,1,0,1,Larch1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,Larch1,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid1,Decid,3
Wetland-Decid2,Wetland-Decid2,NA,Wetland-Decid2,Wetland-Decid,2,Wetland,Larch,Larch,1,0,1,Larch2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,Larch2,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid2,Decid,3
Wetland-Decid3,Wetland-Decid3,NA,Wetland-Decid3,Wetland-Decid,3,Wetland,Larch,Larch,1,0,1,Larch3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,Larch3,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid3,Decid,1
Wetland-Decid4,Wetland-Decid4,NA,Wetland-Decid4,Wetland-Decid,4,Wetland,Larch,Larch,1,0,1,Larch4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D,NA,NA,Larch4,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid4,Decid,1
Wetland-Decid5,Wetland-Decid5,NA,Wetland-Decid5,Wetland-Decid,5,Wetland,Larch,Larch,1,0,1,Larch5,80-99 yr old,80,99,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch5,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid5,Decid,1
Wetland-Decid6,Wetland-Decid6,NA,Wetland-Decid6,Wetland-Decid,6,Wetland,Larch,Larch,1,0,1,Larch6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch6,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid6,Decid,1
Wetland-Decid7,Wetland-Decid7,NA,Wetland-Decid7,Wetland-Decid,7,Wetland,Larch,Larch,1,0,1,Larch7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch7,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid7,Decid,1
Wetland-Decid8,Wetland-Decid8,NA,Wetland-Decid8,Wetland-Decid,8,Wetland,Larch,Larch,1,0,1,Larch8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch8,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid8,Decid,1
Wetland-Decid9,Wetland-Decid9,NA,Wetland-Decid9,Wetland-Decid,9,Wetland,Larch,Larch,1,0,1,Larch9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch9,NA,NA,NA,NA,NA,NA,Decid,Decid,Decid9,Decid,1
Wetland-Larch0,Wetland-Larch0,NA,Wetland-Larch0,Wetland-Larch,0,Wetland,Larch,Larch,1,0,1,Larch0,Unknown,NA,NA,Unknown,D,NA,NA,Larch0,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch0,Larch,1
Wetland-LarchR,Wetland-LarchR,NA,Wetland-LarchR,Wetland-Larch,R,Wetland,Larch,Larch,1,0,1,LarchR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,NA,NA,LarchR,NA,NA,NA,NA,NA,NA,Larch,LoConif,LarchR,Larch,3
Wetland-Larch1,Wetland-Larch1,NA,Wetland-Larch1,Wetland-Larch,1,Wetland,Larch,Larch,1,0,1,Larch1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,NA,NA,Larch1,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch1,Larch,3
Wetland-Larch2,Wetland-Larch2,NA,Wetland-Larch2,Wetland-Larch,2,Wetland,Larch,Larch,1,0,1,Larch2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,NA,NA,Larch2,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch2,Larch,3
Wetland-Larch3,Wetland-Larch3,NA,Wetland-Larch3,Wetland-Larch,3,Wetland,Larch,Larch,1,0,1,Larch3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,NA,NA,Larch3,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch3,Larch,1
Wetland-Larch4,Wetland-Larch4,NA,Wetland-Larch4,Wetland-Larch,4,Wetland,Larch,Larch,1,0,1,Larch4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C,NA,NA,Larch4,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch4,Larch,1
Wetland-Larch5,Wetland-Larch5,NA,Wetland-Larch5,Wetland-Larch,5,Wetland,Larch,Larch,1,0,1,Larch5,80-99 yr old,80,99,Mature Forest (Understory Re-initiation Stages),D,NA,NA,Larch5,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch5,Larch,1
Wetland-Larch6,Wetland-Larch6,NA,Wetland-Larch6,Wetland-Larch,6,Wetland,Larch,Larch,1,0,1,Larch6,100-119 yr old,100,119,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch6,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch6,Larch,1
Wetland-Larch7,Wetland-Larch7,NA,Wetland-Larch7,Wetland-Larch,7,Wetland,Larch,Larch,1,0,1,Larch7,120-139 yr old,120,139,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch7,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch7,Larch,1
Wetland-Larch8,Wetland-Larch8,NA,Wetland-Larch8,Wetland-Larch,8,Wetland,Larch,Larch,1,0,1,Larch8,140-159 yr old,140,159,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch8,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch8,Larch,1
Wetland-Larch9,Wetland-Larch9,NA,Wetland-Larch9,Wetland-Larch,9,Wetland,Larch,Larch,1,0,1,Larch9,160 yr and older,160,400,Old Forest (Understory Re-initiation Stages),D,NA,NA,Larch9,NA,NA,NA,NA,NA,NA,Larch,LoConif,Larch9,Larch,1
BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,NA,NA,,NA,XXX,XXX,0,1,1,NA,NA,NA,NA,NA,,Human-created Water Bodies ,"Borrow-Pits, Dug-outs, Sumps ",XXX,Alien,Nonlin,Human-created Water Bodies,Human-created Water Bodies,Misc,"Created to extract fill, or for livestock watering ",MiscHF,Misc,BorrowpitsDugoutsSumps,HWater,5
Canals,Canals,Canals,NA,NA,,NA,XXX,XXX,0,1,1,NA,NA,NA,NA,NA,,Human-created Water Bodies ,Canals ,XXX,Alien,Nonlin,Human-created Water Bodies,Human-created Water Bodies,Misc,Created to transport water ,MiscHF,Misc,Canals,HWater,5
CultivationCropPastureBareground,CultivationCropPastureBareground,CultivationCropPastureBareground,NA,NA,,NA,Cult,Cult,0,0,0,NA,NA,NA,NA,NA,,Agriculture,Cultivation (Crop/Pasture/Bare Ground) ,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Any area where evidence of cultivation is visible during the photo interpretation ,Agriculture,Agriculture,CultivationCropPastureBareground,Cult,5
HighDensityLivestockOperation,HighDensityLivestockOperation,HighDensityLivestockOperation,NA,NA,,NA,Cult,Cult,0,0,0,NA,NA,NA,NA,NA,,Agriculture,High Density Livestock Operation ,Cult,Alien,Nonlin,Agriculture,Agriculture,Agriculture,Confined feeding operation and other high density livestock area ,Agriculture,Agriculture,HighDensityLivestockOperation,Cult,5
IndustrialSiteRural,IndustrialSiteRural,IndustrialSiteRural,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Urban & Rural & Industrial,Industrial Site Rural ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial","Urban, Rural & Industrial",RuralUrban,Rural area developed for industrial use ,RuralUrban,RuralUrban,IndustrialSiteRural,UrbInd,5
MineSite,MineSite,MineSite,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Mines ,Mine Site ,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features","Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,MineWell,Energy,MineSite,UrbInd,5
MunicipalWaterSewage,MunicipalWaterSewage,MunicipalWaterSewage,NA,NA,,NA,XXX,XXX,0,1,1,NA,NA,NA,NA,NA,,Human-created Water Bodies ,Municipal (Water and Sewage) ,XXX,Alien,Nonlin,Human-created Water Bodies,Human-created Water Bodies,Misc,Created for municipal purposes (some/many of these may be mislabelled),RuralUrban,Misc,MunicipalWaterSewage,HWater,5
OtherDisturbedVegetation,OtherDisturbedVegetation,OtherDisturbedVegetation,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Urban & Rural & Industrial,Other Disturbed Vegetation ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial","Urban, Rural & Industrial",Misc,"Recreation areas and other vegetated areas created for human use, including golf courses, grave yards, vegetated edges of airports, sometimes along roads and any other disturbed areas that have recovered vegetation ",MiscHF,Misc,OtherDisturbedVegetation,UrbInd,5
PeatMine,PeatMine,PeatMine,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Mines ,Peat Mine ,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features","Mines, Wells & Other Energy Features",Misc,Area where vegetation is disturbed ,MineWell,Misc,PeatMine,UrbInd,5
Pipeline,Pipeline,Pipeline,NA,NA,,NA,SoftLin,SoftLin,0,0,0,NA,NA,NA,NA,NA,,Vegetated Linear Industrial Features,Pipeline ,SoftLin,Succ,Lin,Vegetated Linear Industrial Features,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,EnergySoftLin,Energy,Pipeline,SoftLin,5
RailHardSurface,RailHardSurface,RailHardSurface,NA,NA,,NA,HardLin,HardLin,0,0,0,NA,NA,NA,NA,NA,,Transportation ,Rail - Hard Surface ,HardLin,Alien,Lin,Transportation,Transportation,Transportation,Usually gravel ,Transportation,Transportation,RailHardSurface,HardLin,5
RailVegetatedVerge,RailVegetatedVerge,RailVegetatedVerge,NA,NA,,NA,SoftLin,SoftLin,0,0,0,NA,NA,NA,NA,NA,,Transportation ,Rail - Vegetated Verge ,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Vegetated strips along railways ,Transportation,Transportation,RailVegetatedVerge,SoftLin,5
Reservoirs,Reservoirs,Reservoirs,NA,NA,,NA,XXX,XXX,0,1,1,NA,NA,NA,NA,NA,,Human-created Water Bodies ,Reservoirs ,XXX,Alien,Nonlin,Human-created Water Bodies,Human-created Water Bodies,Misc,Man-made lake ,MiscHF,Misc,Reservoirs,HWater,5
RoadHardSurface,RoadHardSurface,RoadHardSurface,NA,NA,,NA,HardLin,HardLin,0,0,0,NA,NA,NA,NA,NA,,Transportation ,Road - Hard Surface ,HardLin,Alien,Lin,Transportation,Transportation,Transportation,Paved or gravel ,Transportation,Transportation,RoadHardSurface,HardLin,5
RoadTrailVegetated,RoadTrailVegetated,RoadTrailVegetated,NA,NA,,NA,SoftLin,SoftLin,0,0,0,NA,NA,NA,NA,NA,,Transportation ,Road/Trail (Vegetated) ,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Road/Trail without gravel or pavement ,Transportation,Transportation,RoadTrailVegetated,SoftLin,5
RoadVegetatedVerge,RoadVegetatedVerge,RoadVegetatedVerge,NA,NA,,NA,SoftLin,SoftLin,0,0,0,NA,NA,NA,NA,NA,,Transportation ,Road - Vegetated Verge ,SoftLin,Succ,Lin,Transportation,Transportation,Transportation,Vegetated strips along paved/gravel roads ,Transportation,Transportation,RoadVegetatedVerge,SoftLin,5
RuralResidentialIndustrial,RuralResidentialIndustrial,RuralResidentialIndustrial,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Urban & Rural & Industrial,Rural (Residential/Industrial) ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial","Urban, Rural & Industrial",RuralUrban,Small rural development (confounded with rural industrial development) ,RuralUrban,RuralUrban,RuralResidentialIndustrial,UrbInd,5
SeismicLine,SeismicLine,SeismicLine,NA,NA,,NA,SoftLin,SoftLin,0,0,0,NA,NA,NA,NA,NA,,Vegetated Linear Industrial Features,Seismic Line ,SoftLin,Succ,Lin,Vegetated Linear Industrial Features,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,EnergySoftLin,Energy,SeismicLine,SoftLin,5
TransmissionLine,TransmissionLine,TransmissionLine,NA,NA,,NA,SoftLin,SoftLin,0,0,0,NA,NA,NA,NA,NA,,Vegetated Linear Industrial Features,Transmission Line ,SoftLin,Succ,Lin,Vegetated Linear Industrial Features,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,EnergySoftLin,Energy,TransmissionLine,SoftLin,5
Urban,Urban,Urban,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Urban & Rural & Industrial,Urban ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial","Urban, Rural & Industrial",RuralUrban,Cities and towns ,RuralUrban,RuralUrban,Urban,UrbInd,5
WellSite,WellSite,WellSite,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Wells ,Well Site ,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features","Mines, Wells & Other Energy Features",Energy,Well pads created by the energy industry ,MineWell,Energy,WellSite,UrbInd,5
WindGenerationFacility,WindGenerationFacility,WindGenerationFacility,NA,NA,,NA,UrbInd,UrbInd,0,0,0,NA,NA,NA,NA,NA,,Urban & Rural & Industrial,Wind Generation Facility,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features","Mines, Wells & Other Energy Features",Energy,Area around the windmill ,MineWell,Energy,WindGenerationFacility,UrbInd,5
CCDecid0,CCDecid0,CutBlocks,Decid0,Decid,0,Forest,Decid,CC,0,0,0,Decid0,Unknown,NA,NA,Unknown,D,Managed Forest ,Cut Blocks ,Decid0,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCDecid0,HFor,2
CCDecidR,CCDecidR,CutBlocks,DecidR,Decid,R,Forest,Decid,CC,0,0,0,DecidR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,Managed Forest ,Cut Blocks ,DecidR,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCDecidR,HFor,4
CCDecid1,CCDecid1,CutBlocks,Decid1,Decid,1,Forest,Decid,CC,0,0,0,Decid1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,Managed Forest ,Cut Blocks ,Decid1,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCDecid1,HFor,4
CCDecid2,CCDecid2,CutBlocks,Decid2,Decid,2,Forest,Decid,CC,0,0,0,Decid2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,Managed Forest ,Cut Blocks ,Decid2,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCDecid2,HFor,4
CCDecid3,CCDecid3,CutBlocks,Decid3,Decid,3,Forest,Decid,CC,0,0,0,Decid3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,Managed Forest ,Cut Blocks ,Decid3,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCDecid3,HFor,2
CCDecid4,CCDecid4,CutBlocks,Decid4,Decid,4,Forest,Decid,CC,0,0,0,Decid4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D,Managed Forest ,Cut Blocks ,Decid4,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCDecid4,HFor,2
CCMixwood0,CCMixwood0,CutBlocks,Mixwood0,Mixwood,0,Forest,Mixwood,CC,0,0,0,Mixwood0,Unknown,NA,NA,Unknown,D,Managed Forest ,Cut Blocks ,Mixwood0,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCMixwood0,HFor,2
CCMixwoodR,CCMixwoodR,CutBlocks,MixwoodR,Mixwood,R,Forest,Mixwood,CC,0,0,0,MixwoodR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,Managed Forest ,Cut Blocks ,MixwoodR,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCMixwoodR,HFor,4
CCMixwood1,CCMixwood1,CutBlocks,Mixwood1,Mixwood,1,Forest,Mixwood,CC,0,0,0,Mixwood1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,Managed Forest ,Cut Blocks ,Mixwood1,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCMixwood1,HFor,4
CCMixwood2,CCMixwood2,CutBlocks,Mixwood2,Mixwood,2,Forest,Mixwood,CC,0,0,0,Mixwood2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,Managed Forest ,Cut Blocks ,Mixwood2,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCMixwood2,HFor,4
CCMixwood3,CCMixwood3,CutBlocks,Mixwood3,Mixwood,3,Forest,Mixwood,CC,0,0,0,Mixwood3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,Managed Forest ,Cut Blocks ,Mixwood3,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCMixwood3,HFor,2
CCMixwood4,CCMixwood4,CutBlocks,Mixwood4,Mixwood,4,Forest,Mixwood,CC,0,0,0,Mixwood4,60-79 yr old,60,79,Mature Forest (Understory Re-initiation Stages),D,Managed Forest ,Cut Blocks ,Mixwood4,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCMixwood4,HFor,2
CCConif0,CCConif0,CutBlocks,Conif0,Conif,0,Forest,Conif,CC,0,0,0,Conif0,Unknown,NA,NA,Unknown,D,Managed Forest ,Cut Blocks ,Conif0,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCConif0,HFor,1
CCConifR,CCConifR,CutBlocks,ConifR,Conif,R,Forest,Conif,CC,0,0,0,ConifR,Recent (0-9 yr old),0,9,Herb (Post-Disturbance Stages),R,Managed Forest ,Cut Blocks ,ConifR,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCConifR,HFor,3
CCConif1,CCConif1,CutBlocks,Conif1,Conif,1,Forest,Conif,CC,0,0,0,Conif1,10-19 yr old,10,19,Shrub (Stand Initiation Stages),A,Managed Forest ,Cut Blocks ,Conif1,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCConif1,HFor,3
CCConif2,CCConif2,CutBlocks,Conif2,Conif,2,Forest,Conif,CC,0,0,0,Conif2,20-39 yr old,20,39,Pole/Sapling (Stem Exclusion Stages),B,Managed Forest ,Cut Blocks ,Conif2,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCConif2,HFor,3
CCConif3,CCConif3,CutBlocks,Conif3,Conif,3,Forest,Conif,CC,0,0,0,Conif3,40-59 yr old,40,59,Young Forest (Stem Exclusion Stages),C,Managed Forest ,Cut Blocks ,Conif3,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCConif3,HFor,1
CCConif4,CCConif4,CutBlocks,Conif4,Conif,4,Forest,Conif,CC,0,0,0,Conif4,60-79 yr old,60,79,Young Forest (Stem Exclusion Stages),C,Managed Forest ,Cut Blocks ,Conif4,Succ,Nonlin,Forest Harvest,Forest Harvest,Forestry,Area with trees harvested for industrial purposes ,Forestry,Forestry,CCConif4,HFor,1
