Veg_Moist_preBkfSrs,Veg,Moist,preBkfSrs,Combined,need_CWCS
Lotic Grass/Herb::wet-derived::Phase1,Lotic Grass/Herb,wet-derived,Phase1,GraminoidWetland,x
Lotic herb::dry-derived::GVI,Lotic herb,dry-derived,GVI,GraminoidWetland,x
Lotic herb::mesic-derived::GVI,Lotic herb,mesic-derived,GVI,GraminoidWetland,x
Lotic herb::wet-derived::GVI,Lotic herb,wet-derived,GVI,GraminoidWetland,x
Lotic shrub::dry-derived::GVI,Lotic shrub,dry-derived,GVI,ShrubbyWetland,x
Lotic shrub::mesic-derived::GVI,Lotic shrub,mesic-derived,GVI,ShrubbyWetland,x
Lotic shrub::wet-derived::GVI,Lotic shrub,wet-derived,GVI,ShrubbyWetland,x
Manitoba maple::mesic-derived::GVI,Manitoba maple,mesic-derived,GVI,Decid,
Marsh::9E::PLVI,Marsh,9E,PLVI,Marsh,
Marsh::wet-derived::AVIE,Marsh,wet-derived,AVIE,Marsh,
Marsh::wet-derived::CPVI,Marsh,wet-derived,CPVI,Marsh,
Marsh::wet-derived::EINP,Marsh,wet-derived,EINP,Marsh,
Marsh::wet-derived::GVI,Marsh,wet-derived,GVI,Marsh,
Marsh::wet-derived::Phase1,Marsh,wet-derived,Phase1,Marsh,
Marsh::wet-derived::PLVI,Marsh,wet-derived,PLVI,Marsh,
Marsh::wet-derived::WBNP,Marsh,wet-derived,WBNP,Marsh,
Mixedwood::::PLVI,Mixedwood,,PLVI,Marsh,
Mixedwood::dry-derived::AVIE,Mixedwood,dry-derived,AVIE,Mixedwood,
Mixedwood::dry-derived::CPVI,Mixedwood,dry-derived,CPVI,Mixedwood,
Mixedwood::dry-derived::GVI,Mixedwood,dry-derived,GVI,Mixedwood,
Mixedwood::dry-derived::Phase1,Mixedwood,dry-derived,Phase1,Mixedwood,
Mixedwood::dry-derived::PLVI,Mixedwood,dry-derived,PLVI,Mixedwood,
Mixedwood::mesic-derived::AVIE,Mixedwood,mesic-derived,AVIE,Mixedwood,
Mixedwood::mesic-derived::CPVI,Mixedwood,mesic-derived,CPVI,Mixedwood,
Mixedwood::mesic-derived::EINP,Mixedwood,mesic-derived,EINP,Mixedwood,
Mixedwood::mesic-derived::GVI,Mixedwood,mesic-derived,GVI,Mixedwood,
Mixedwood::mesic-derived::Phase1,Mixedwood,mesic-derived,Phase1,Mixedwood,
Mixedwood::mesic-derived::PLVI,Mixedwood,mesic-derived,PLVI,Mixedwood,
Mixedwood::mesic-derived::WBNP,Mixedwood,mesic-derived,WBNP,Mixedwood,
Mixedwood::w-derived::AVIE,Mixedwood,w-derived,AVIE,TreedWetland-Mixedwood,
Mixedwood::wet-derived::AVIE,Mixedwood,wet-derived,AVIE,TreedWetland-Mixedwood,
Mixedwood::wet-derived::CPVI,Mixedwood,wet-derived,CPVI,TreedWetland-Mixedwood,
Mixedwood::wet-derived::GVI,Mixedwood,wet-derived,GVI,TreedWetland-Mixedwood,
Mixedwood::wet-derived::Phase1,Mixedwood,wet-derived,Phase1,TreedWetland-Mixedwood,
Mixedwood::wet-derived::PLVI,Mixedwood,wet-derived,PLVI,TreedWetland-Mixedwood,
Mud::wet-derived::WBNP,Mud,wet-derived,WBNP,Bare,
MuskegMarsh::dry-derived::AVIE,MuskegMarsh,dry-derived,AVIE,Muskeg,x
MuskegMarsh::dry-derived::Phase1,MuskegMarsh,dry-derived,Phase1,Muskeg,x
MuskegMarsh::mesic-derived::AVIE,MuskegMarsh,mesic-derived,AVIE,Muskeg,x
MuskegMarsh::mesic-derived::CPVI,MuskegMarsh,mesic-derived,CPVI,Muskeg,x
MuskegMarsh::mesic-derived::Phase1,MuskegMarsh,mesic-derived,Phase1,Muskeg,x
MuskegMarsh::w-derived::AVIE,MuskegMarsh,w-derived,AVIE,Muskeg,x
MuskegMarsh::wet-derived::AVIE,MuskegMarsh,wet-derived,AVIE,Muskeg,x
MuskegMarsh::wet-derived::CPVI,MuskegMarsh,wet-derived,CPVI,Muskeg,x
MuskegMarsh::wet-derived::Phase1,MuskegMarsh,wet-derived,Phase1,Muskeg,x
MuskegMarsh::wet-derived::PLVI,MuskegMarsh,wet-derived,PLVI,Muskeg,x
MuskegMarsh::wet-derived::WBNP,MuskegMarsh,wet-derived,WBNP,Muskeg,x
Narrow leaf cottonwood MixD::dry-derived::GVI,Narrow leaf cottonwood MixD,dry-derived,GVI,Decid,
Narrow leaf cottonwood MixD::mesic-derived::GVI,Narrow leaf cottonwood MixD,mesic-derived,GVI,Decid,
Narrow leaf cottonwood MixD::wet-derived::GVI,Narrow leaf cottonwood MixD,wet-derived,GVI,TreedSwamp-Decid,
Narrow leaf cottonwood::dry-derived::GVI,Narrow leaf cottonwood,dry-derived,GVI,Decid,
Narrow leaf cottonwood::mesic-derived::GVI,Narrow leaf cottonwood,mesic-derived,GVI,Decid,
Other Forest::dry-derived::GVI,Other Forest,dry-derived,GVI,Decid,
Other Forest::mesic-derived::GVI,Other Forest,mesic-derived,GVI,Decid,
Other Forest::wet-derived::GVI,Other Forest,wet-derived,GVI,TreedSwamp-Forest,
Pine spp MixC::d::ABMICutblock,Pine spp MixC,d,ABMICutblock,Pine,
Pine spp MixC::d::AVIE,Pine spp MixC,d,AVIE,Pine,
Pine spp MixC::m::ABMICutblock,Pine spp MixC,m,ABMICutblock,Pine,
Pine spp MixC::m::AVIE,Pine spp MixC,m,AVIE,Pine,
Pine spp MixC::mesic-derived::AVIE,Pine spp MixC,mesic-derived,AVIE,Pine,
Pine spp MixC::mesic-derived::GVI,Pine spp MixC,mesic-derived,GVI,Pine,
Pine spp MixC::w::AVIE,Pine spp MixC,w,AVIE,Pine,
Pine spp MixC::wet-derived::AVIE,Pine spp MixC,wet-derived,AVIE,Pine,
Pine spp MixCD::d::ABMICutblock,Pine spp MixCD,d,ABMICutblock,Mixedwood,
Pine spp MixCD::d::AVIE,Pine spp MixCD,d,AVIE,Mixedwood,
Pine spp MixCD::dry-derived::GVI,Pine spp MixCD,dry-derived,GVI,Mixedwood,
Pine spp MixCD::m::ABMICutblock,Pine spp MixCD,m,ABMICutblock,Mixedwood,
Pine spp MixCD::m::AVIE,Pine spp MixCD,m,AVIE,Mixedwood,
Pine spp MixCD::mesic-derived::GVI,Pine spp MixCD,mesic-derived,GVI,Mixedwood,
Pine spp MixCD::w::AVIE,Pine spp MixCD,w,AVIE,TreedSwamp-Mixedwood,
Pine spp MixCD::wet-derived::AVIE,Pine spp MixCD,wet-derived,AVIE,TreedSwamp-Mixedwood,
Pine spp MixDC::d::AVIE,Pine spp MixDC,d,AVIE,Mixedwood,
Pine spp MixDC::m::ABMICutblock,Pine spp MixDC,m,ABMICutblock,Mixedwood,
Pine spp MixDC::m::AVIE,Pine spp MixDC,m,AVIE,Mixedwood,
Pine spp MixWet::d::AVIE,Pine spp MixWet,d,AVIE,Pine,
Pine spp MixWet::m::AVIE,Pine spp MixWet,m,AVIE,Pine,
Pine spp MixWet::w::AVIE,Pine spp MixWet,w,AVIE,Pine,
Pine spp::d::ABMICutblock,Pine spp,d,ABMICutblock,Pine,
Pine spp::d::AVIE,Pine spp,d,AVIE,Pine,
Pine spp::dry-derived::GVI,Pine spp,dry-derived,GVI,Pine,
Pine spp::m::ABMICutblock,Pine spp,m,ABMICutblock,Pine,
Pine spp::m::AVIE,Pine spp,m,AVIE,Pine,
Pine spp::mesic-derived::GVI,Pine spp,mesic-derived,GVI,Pine,
Pine spp::w::AVIE,Pine spp,w,AVIE,Pine,
Pine spp::w-derived::AVIE,Pine spp,w-derived,AVIE,Pine,
Pine::dry-derived::AGCCPine,Pine,dry-derived,AGCCPine,Pine,
Pine::dry-derived::Phase1,Pine,dry-derived,Phase1,Pine,
Pine::dry-derived::WBNP,Pine,dry-derived,WBNP,Pine,
Plains cottonwood MixD::mesic-derived::GVI,Plains cottonwood MixD,mesic-derived,GVI,Decid,
Plains cottonwood::dry-derived::GVI,Plains cottonwood,dry-derived,GVI,Decid,
Plains cottonwood::mesic-derived::GVI,Plains cottonwood,mesic-derived,GVI,Decid,
Poplar spp MixD::mesic-derived::GVI,Poplar spp MixD,mesic-derived,GVI,Decid,
Poplar spp MixDC::dry-derived::GVI,Poplar spp MixDC,dry-derived,GVI,Mixedwood,
Poplar spp MixDC::mesic-derived::GVI,Poplar spp MixDC,mesic-derived,GVI,Mixedwood,
Poplar spp::dry-derived::GVI,Poplar spp,dry-derived,GVI,Decid,
Poplar spp::mesic-derived::GVI,Poplar spp,mesic-derived,GVI,Decid,
Poplar spp::wet-derived::GVI,Poplar spp,wet-derived,GVI,TreedSwamp-Decid,
Rock/Rubble::1A::PLVI,Rock/Rubble,1A,PLVI,Bare,
Rock/Rubble::dry-derived::AVIE,Rock/Rubble,dry-derived,AVIE,Bare,
Rock/Rubble::dry-derived::GVI,Rock/Rubble,dry-derived,GVI,Bare,
Rock/Rubble::dry-derived::Phase1,Rock/Rubble,dry-derived,Phase1,Bare,
Rock/Rubble::dry-derived::PLVI,Rock/Rubble,dry-derived,PLVI,Bare,
Rock/Rubble::mesic-derived::AVIE,Rock/Rubble,mesic-derived,AVIE,Bare,
Rock/Rubble::mesic-derived::PLVI,Rock/Rubble,mesic-derived,PLVI,Bare,
Rock/Rubble::w-derived::AVIE,Rock/Rubble,w-derived,AVIE,Bare,
Rock/Rubble::wet-derived::AVIE,Rock/Rubble,wet-derived,AVIE,Bare,
Rock/Rubble::wet-derived::PLVI,Rock/Rubble,wet-derived,PLVI,Bare,
Rock::dry-derived::WBNP,Rock,dry-derived,WBNP,Bare,
Rock::Xeric-derived::MTNP,Rock,Xeric-derived,MTNP,Bare,
RockBarren::dry-derived::Phase1,RockBarren,dry-derived,Phase1,Bare,
RockBarren::dry-derived::WBNP,RockBarren,dry-derived,WBNP,Bare,
Saline lowland::mesic-derived::GVI,Saline lowland,mesic-derived,GVI,Alkali,
Sand::dry-derived::WBNP,Sand,dry-derived,WBNP,Bare,
Sedge fen::Hydric::MTNP,Sedge fen,Hydric,MTNP,GraminoidFen,
Shrub fen::Sub-Hydric::MTNP,Shrub fen,Sub-Hydric,MTNP,ShrubbyFen,
Shrub marsh::Hygric::MTNP,Shrub marsh,Hygric,MTNP,ShrubbySwamp,
Shrub marsh::Sub-Hydric::MTNP,Shrub marsh,Sub-Hydric,MTNP,ShrubbySwamp,
Shrub::3B::PLVI,Shrub,3B,PLVI,Shrub,
Shrub::3C::PLVI,Shrub,3C,PLVI,Shrub,
Shrub::4C::PLVI,Shrub,4C,PLVI,Shrub,
Shrub::5B::PLVI,Shrub,5B,PLVI,Shrub,
Shrub::5C::PLVI,Shrub,5C,PLVI,Shrub,
Shrub::5D::PLVI,Shrub,5D,PLVI,Shrub,
Shrub::6C::PLVI,Shrub,6C,PLVI,Shrub,
Shrub::6D::PLVI,Shrub,6D,PLVI,Shrub,
Shrub::6E::PLVI,Shrub,6E,PLVI,Shrub,
Shrub::7B::PLVI,Shrub,7B,PLVI,ShrubbyWetland,x
Shrub::7C::PLVI,Shrub,7C,PLVI,ShrubbyWetland,x
Shrub::7D::PLVI,Shrub,7D,PLVI,ShrubbyWetland,x
Shrub::a::AVIE,Shrub,a,AVIE,ShrubbyWetland,x
Shrub::d::AVIE,Shrub,d,AVIE,Shrub,
Shrub::d::EINP,Shrub,d,EINP,Shrub,
Shrub::dry-derived::AVIE,Shrub,dry-derived,AVIE,Shrub,
Shrub::dry-derived::CPVI,Shrub,dry-derived,CPVI,Shrub,
Shrub::dry-derived::GVI,Shrub,dry-derived,GVI,Shrub,
Shrub::dry-derived::Phase1,Shrub,dry-derived,Phase1,Shrub,
Shrub::dry-derived::PLVI,Shrub,dry-derived,PLVI,Shrub,
Shrub::Hydric::MTNP,Shrub,Hydric,MTNP,ShrubbyWetland,x
Shrub::m::AVIE,Shrub,m,AVIE,Shrub,
Shrub::m::EINP,Shrub,m,EINP,Shrub,
Shrub::Mesic::MTNP,Shrub,Mesic,MTNP,Shrub,
Shrub::mesic-derived::AVIE,Shrub,mesic-derived,AVIE,Shrub,
Shrub::mesic-derived::CPVI,Shrub,mesic-derived,CPVI,Shrub,
Shrub::mesic-derived::EINP,Shrub,mesic-derived,EINP,Shrub,
Shrub::mesic-derived::GVI,Shrub,mesic-derived,GVI,Shrub,
Shrub::mesic-derived::Phase1,Shrub,mesic-derived,Phase1,Shrub,
Shrub::mesic-derived::PLVI,Shrub,mesic-derived,PLVI,Shrub,
Shrub::mesic-derived::WBNP,Shrub,mesic-derived,WBNP,Shrub,
Shrub::Sub-Hydric::MTNP,Shrub,Sub-Hydric,MTNP,ShrubbyWetland,x
Shrub::Sub-Mesic::MTNP,Shrub,Sub-Mesic,MTNP,Shrub,
Shrub::w::AVIE,Shrub,w,AVIE,ShrubbyWetland,x
Shrub::w::EINP,Shrub,w,EINP,ShrubbyWetland,x
Shrub::w-derived::AVIE,Shrub,w-derived,AVIE,ShrubbyWetland,x
Shrub::wet-derived::AVIE,Shrub,wet-derived,AVIE,ShrubbyWetland,x
Shrub::wet-derived::CPVI,Shrub,wet-derived,CPVI,ShrubbyWetland,x
Shrub::wet-derived::GVI,Shrub,wet-derived,GVI,ShrubbyWetland,x
Shrub::wet-derived::Phase1,Shrub,wet-derived,Phase1,ShrubbyWetland,x
Shrub::Xeric::MTNP,Shrub,Xeric,MTNP,Shrub,
ShrubBog::9B::PLVI,ShrubBog,9B,PLVI,ShrubbyBog,
ShrubFen::9C::PLVI,ShrubFen,9C,PLVI,ShrubbyFen,
ShrubFen::9D::PLVI,ShrubFen,9D,PLVI,ShrubbyFen,
Snow/Ice::mesic-derived::Phase1,Snow/Ice,mesic-derived,Phase1,SnowIce,
Spruce bog::Hydric::MTNP,Spruce bog,Hydric,MTNP,TreedBog-BSpr,
Spruce bog::Sub-Hydric::MTNP,Spruce bog,Sub-Hydric,MTNP,TreedBog-BSpr,
Spruce spp MixCD::dry-derived::GVI,Spruce spp MixCD,dry-derived,GVI,TreedSwamp-Mixedwood,
Spruce spp MixCD::mesic-derived::GVI,Spruce spp MixCD,mesic-derived,GVI,TreedSwamp-Mixedwood,
Spruce spp::dry-derived::GVI,Spruce spp,dry-derived,GVI,TreedBog-BSpr,
Spruce spp::mesic-derived::GVI,Spruce spp,mesic-derived,GVI,TreedBog-BSpr,
Subalpine fir::Mesic::MTNP,Subalpine fir,Mesic,MTNP,Fir,
Subalpine fir::Sub-Mesic::MTNP,Subalpine fir,Sub-Mesic,MTNP,Fir,
Subalpine larch::Mesic::MTNP,Subalpine larch,Mesic,MTNP,AlpineLarch,
Subalpine larch::Sub-Mesic::MTNP,Subalpine larch,Sub-Mesic,MTNP,AlpineLarch,
Swamp Shrub::wet-derived::WBNP,Swamp Shrub,wet-derived,WBNP,ShrubbySwamp,
Swamp::9B::PLVI,Swamp,9B,PLVI,ShrubbySwamp,
Swamp::wet-derived::AVIE,Swamp,wet-derived,AVIE,ShrubbySwamp,
Swamp::wet-derived::CPVI,Swamp,wet-derived,CPVI,ShrubbySwamp,
Swamp::wet-derived::EINP,Swamp,wet-derived,EINP,ShrubbySwamp,
Swamp::wet-derived::GVI,Swamp,wet-derived,GVI,ShrubbySwamp,
Swamp::wet-derived::Phase1,Swamp,wet-derived,Phase1,ShrubbySwamp,
Swamp::wet-derived::PLVI,Swamp,wet-derived,PLVI,ShrubbySwamp,
Tamarack leading - conifer::7C::PLVI,Tamarack leading - conifer,7C,PLVI,TreedFen-Larch,
Tamarack leading - conifer::7D::PLVI,Tamarack leading - conifer,7D,PLVI,TreedFen-Larch,
Tamarack leading - mixedwood::7C::PLVI,Tamarack leading - mixedwood,7C,PLVI,TreedFen-Larch,
Tamarack MixCD::d::AVIE,Tamarack MixCD,d,AVIE,TreedFen-Mixedwood,
Tamarack MixCD::m::AVIE,Tamarack MixCD,m,AVIE,TreedFen-Mixedwood,
Tamarack MixCD::w::AVIE,Tamarack MixCD,w,AVIE,TreedFen-Mixedwood,
Tamarack MixCD::w-derived::AVIE,Tamarack MixCD,w-derived,AVIE,TreedFen-Mixedwood,
Tamarack MixDC::m::AVIE,Tamarack MixDC,m,AVIE,TreedFen-Mixedwood,
Tamarack MixDC::w::AVIE,Tamarack MixDC,w,AVIE,TreedFen-Mixedwood,
Tamarack::a::AVIE,Tamarack,a,AVIE,TreedFen-Larch,
Tamarack::m::AVIE,Tamarack,m,AVIE,TreedFen-Larch,
Tamarack::w::AVIE,Tamarack,w,AVIE,TreedFen-Larch,
Tamarack::w-derived::AVIE,Tamarack,w-derived,AVIE,TreedFen-Larch,
TreedBog - Black Spruce leading - conifer::9B::PLVI,TreedBog - Black Spruce leading - conifer,9B,PLVI,TreedBog-BSpr,
TreedBog - Black Spruce leading - conifer::9C::PLVI,TreedBog - Black Spruce leading - conifer,9C,PLVI,TreedBog-BSpr,
TreedBog - Black Spruce leading - mixedwood::9B::PLVI,TreedBog - Black Spruce leading - mixedwood,9B,PLVI,TreedBog-BSpr,
TreedBog - No species info::9B::PLVI,TreedBog - No species info,9B,PLVI,TreedBog-BSpr,
TreedFen - Balsam poplar leading - mixedwood::9C::PLVI,TreedFen - Balsam poplar leading - mixedwood,9C,PLVI,TreedFen-Decid,
TreedFen - Black Spruce leading - conifer::9C::PLVI,TreedFen - Black Spruce leading - conifer,9C,PLVI,TreedFen-BSpr,
TreedFen - Black Spruce leading - conifer::9D::PLVI,TreedFen - Black Spruce leading - conifer,9D,PLVI,TreedFen-BSpr,
TreedFen - Black Spruce leading - mixedwood::9C::PLVI,TreedFen - Black Spruce leading - mixedwood,9C,PLVI,TreedFen-BSpr,
TreedFen - No Species Info::9C::PLVI,TreedFen - No Species Info,9C,PLVI,TreedFen-Larch,
TreedFen - No Species Info::9D::PLVI,TreedFen - No Species Info,9D,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - conifer::9C::PLVI,TreedFen - Tamarack leading - conifer,9C,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - conifer::9D::PLVI,TreedFen - Tamarack leading - conifer,9D,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - mixedwood::9C::PLVI,TreedFen - Tamarack leading - mixedwood,9C,PLVI,TreedFen-Larch,
TreedFen - Tamarack leading - mixedwood::9D::PLVI,TreedFen - Tamarack leading - mixedwood,9D,PLVI,TreedFen-Larch,
TreedFen - Trembling aspen leading - deciduous::5C::PLVI,TreedFen - Trembling aspen leading - deciduous,5C,PLVI,TreedFen-Decid,
TreedFen - White birch leading - deciduous::9C::PLVI,TreedFen - White birch leading - deciduous,9C,PLVI,TreedSwamp-Decid,
TreedFen - White birch leading - mixedwood::9C::PLVI,TreedFen - White birch leading - mixedwood,9C,PLVI,TreedFen-Decid,
Trembling aspen leading - deciduous::3C::PLVI,Trembling aspen leading - deciduous,3C,PLVI,Decid,
Trembling aspen leading - deciduous::4C::PLVI,Trembling aspen leading - deciduous,4C,PLVI,Decid,
Trembling aspen leading - deciduous::5C::PLVI,Trembling aspen leading - deciduous,5C,PLVI,Decid,
Trembling aspen leading - deciduous::5D::PLVI,Trembling aspen leading - deciduous,5D,PLVI,Decid,
Trembling aspen leading - deciduous::6D::PLVI,Trembling aspen leading - deciduous,6D,PLVI,Decid,
Trembling aspen leading - deciduous::7C::PLVI,Trembling aspen leading - deciduous,7C,PLVI,TreedSwamp-Decid,
Trembling aspen leading - deciduous::7D::PLVI,Trembling aspen leading - deciduous,7D,PLVI,TreedSwamp-Decid,
Trembling aspen leading - mixedwood::3C::PLVI,Trembling aspen leading - mixedwood,3C,PLVI,Mixedwood,
Trembling aspen leading - mixedwood::4C::PLVI,Trembling aspen leading - mixedwood,4C,PLVI,Mixedwood,
Trembling aspen leading - mixedwood::5C::PLVI,Trembling aspen leading - mixedwood,5C,PLVI,Mixedwood,
Trembling aspen leading - mixedwood::5D::PLVI,Trembling aspen leading - mixedwood,5D,PLVI,Mixedwood,
Trembling aspen leading - mixedwood::6D::PLVI,Trembling aspen leading - mixedwood,6D,PLVI,Mixedwood,
Trembling aspen leading - mixedwood::7D::PLVI,Trembling aspen leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
Trembling aspen MixCD::d::ABMICutblock,Trembling aspen MixCD,d,ABMICutblock,Mixedwood,
Trembling aspen MixCD::d::AVIE,Trembling aspen MixCD,d,AVIE,Mixedwood,
Trembling aspen MixCD::dry-derived::GVI,Trembling aspen MixCD,dry-derived,GVI,Mixedwood,
Trembling aspen MixCD::m::ABMICutblock,Trembling aspen MixCD,m,ABMICutblock,Mixedwood,
Trembling aspen MixCD::m::AVIE,Trembling aspen MixCD,m,AVIE,Mixedwood,
Trembling aspen MixCD::m::EINP,Trembling aspen MixCD,m,EINP,Mixedwood,
Trembling aspen MixCD::mesic-derived::EINP,Trembling aspen MixCD,mesic-derived,EINP,Mixedwood,
Trembling aspen MixCD::mesic-derived::GVI,Trembling aspen MixCD,mesic-derived,GVI,Mixedwood,
Trembling aspen MixCD::w::AVIE,Trembling aspen MixCD,w,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixCD::w-derived::AVIE,Trembling aspen MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixCD::wet-derived::AVIE,Trembling aspen MixCD,wet-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixD::d::ABMICutblock,Trembling aspen MixD,d,ABMICutblock,Decid,
Trembling aspen MixD::d::AVIE,Trembling aspen MixD,d,AVIE,Decid,
Trembling aspen MixD::d::EINP,Trembling aspen MixD,d,EINP,Decid,
Trembling aspen MixD::dry-derived::AVIE,Trembling aspen MixD,dry-derived,AVIE,Decid,
Trembling aspen MixD::dry-derived::GVI,Trembling aspen MixD,dry-derived,GVI,Decid,
Trembling aspen MixD::m::ABMICutblock,Trembling aspen MixD,m,ABMICutblock,Decid,
Trembling aspen MixD::m::AVIE,Trembling aspen MixD,m,AVIE,Decid,
Trembling aspen MixD::m::EINP,Trembling aspen MixD,m,EINP,Decid,
Trembling aspen MixD::mesic-derived::AVIE,Trembling aspen MixD,mesic-derived,AVIE,Decid,
Trembling aspen MixD::mesic-derived::GVI,Trembling aspen MixD,mesic-derived,GVI,Decid,
Trembling aspen MixD::w::AVIE,Trembling aspen MixD,w,AVIE,TreedSwamp-Decid,
Trembling aspen MixD::w::EINP,Trembling aspen MixD,w,EINP,TreedSwamp-Decid,
Trembling aspen MixD::w-derived::AVIE,Trembling aspen MixD,w-derived,AVIE,TreedSwamp-Decid,
Trembling aspen MixD::wet-derived::AVIE,Trembling aspen MixD,wet-derived,AVIE,TreedSwamp-Decid,
Trembling aspen MixD::wet-derived::GVI,Trembling aspen MixD,wet-derived,GVI,TreedSwamp-Decid,
Trembling aspen MixDC::d::ABMICutblock,Trembling aspen MixDC,d,ABMICutblock,Mixedwood,
Trembling aspen MixDC::d::AVIE,Trembling aspen MixDC,d,AVIE,Mixedwood,
Trembling aspen MixDC::dry-derived::AVIE,Trembling aspen MixDC,dry-derived,AVIE,Mixedwood,
Trembling aspen MixDC::dry-derived::GVI,Trembling aspen MixDC,dry-derived,GVI,Mixedwood,
Trembling aspen MixDC::m::ABMICutblock,Trembling aspen MixDC,m,ABMICutblock,Mixedwood,
Trembling aspen MixDC::m::AVIE,Trembling aspen MixDC,m,AVIE,Mixedwood,
Trembling aspen MixDC::m::EINP,Trembling aspen MixDC,m,EINP,Mixedwood,
Trembling aspen MixDC::mesic-derived::AVIE,Trembling aspen MixDC,mesic-derived,AVIE,Mixedwood,
Trembling aspen MixDC::mesic-derived::GVI,Trembling aspen MixDC,mesic-derived,GVI,Mixedwood,
Trembling aspen MixDC::w::AVIE,Trembling aspen MixDC,w,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixDC::w-derived::AVIE,Trembling aspen MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixDC::wet-derived::AVIE,Trembling aspen MixDC,wet-derived,AVIE,TreedSwamp-Mixedwood,
Trembling aspen MixWet::d::AVIE,Trembling aspen MixWet,d,AVIE,TreedSwamp-Decid,
Trembling aspen MixWet::dry-derived::GVI,Trembling aspen MixWet,dry-derived,GVI,TreedSwamp-Decid,
Trembling aspen MixWet::m::AVIE,Trembling aspen MixWet,m,AVIE,TreedSwamp-Decid,
Trembling aspen MixWet::m::EINP,Trembling aspen MixWet,m,EINP,TreedSwamp-Decid,
Trembling aspen MixWet::mesic-derived::GVI,Trembling aspen MixWet,mesic-derived,GVI,TreedSwamp-Decid,
Trembling aspen MixWet::w::AVIE,Trembling aspen MixWet,w,AVIE,TreedSwamp-Decid,
Trembling aspen MixWet::w-derived::AVIE,Trembling aspen MixWet,w-derived,AVIE,TreedSwamp-Decid,
Trembling aspen::d::ABMICutblock,Trembling aspen,d,ABMICutblock,Decid,
Trembling aspen::d::AVIE,Trembling aspen,d,AVIE,Decid,
Trembling aspen::dry-derived::AVIE,Trembling aspen,dry-derived,AVIE,Decid,
Trembling aspen::dry-derived::GVI,Trembling aspen,dry-derived,GVI,Decid,
Trembling aspen::m::ABMICutblock,Trembling aspen,m,ABMICutblock,Decid,
Trembling aspen::m::AVIE,Trembling aspen,m,AVIE,Decid,
Trembling aspen::m::EINP,Trembling aspen,m,EINP,Decid,
Trembling aspen::mesic-derived::ABMICutblock,Trembling aspen,mesic-derived,ABMICutblock,Decid,
Trembling aspen::mesic-derived::AVIE,Trembling aspen,mesic-derived,AVIE,Decid,
Trembling aspen::mesic-derived::CPVI,Trembling aspen,mesic-derived,CPVI,Decid,
Trembling aspen::mesic-derived::EINP,Trembling aspen,mesic-derived,EINP,Decid,
Trembling aspen::mesic-derived::GVI,Trembling aspen,mesic-derived,GVI,Decid,
Trembling aspen::mesic-derived::Phase1,Trembling aspen,mesic-derived,Phase1,Decid,
Trembling aspen::mesic-derived::PLVI,Trembling aspen,mesic-derived,PLVI,Decid,
Trembling aspen::w::AVIE,Trembling aspen,w,AVIE,TreedSwamp-Decid,
Trembling aspen::w::EINP,Trembling aspen,w,EINP,TreedSwamp-Decid,
Trembling aspen::w-derived::AVIE,Trembling aspen,w-derived,AVIE,TreedSwamp-Decid,
Trembling aspen::wet-derived::AVIE,Trembling aspen,wet-derived,AVIE,TreedSwamp-Decid,
Water::dry-derived::AVIE,Water,dry-derived,AVIE,Water,
Water::mesic-derived::AVIE,Water,mesic-derived,AVIE,Water,
Water::mesic-derived::EINP,Water,mesic-derived,EINP,Water,
Water::Water::AVIE,Water,Water,AVIE,Water,
Water::Water::Hydro,Water,Water,Hydro,Water,
Water::Water::MTNP,Water,Water,MTNP,Water,
Water::Water::PLVI,Water,Water,PLVI,Water,
Water::Water::WBNP,Water,Water,WBNP,Water,
Water::wet-derived::AVIE,Water,wet-derived,AVIE,Water,
Water::wet-derived::EINP,Water,wet-derived,EINP,Water,
Water::wet-derived::GVI,Water,wet-derived,GVI,Water,
Western larch::w::AVIE,Western larch,w,AVIE,TreedFen-Larch,
White birch leading - deciduous::5C::PLVI,White birch leading - deciduous,5C,PLVI,Decid,
White birch leading - deciduous::5D::PLVI,White birch leading - deciduous,5D,PLVI,Decid,
White birch leading - deciduous::7C::PLVI,White birch leading - deciduous,7C,PLVI,TreedSwamp-Decid,
White birch leading - deciduous::7D::PLVI,White birch leading - deciduous,7D,PLVI,TreedSwamp-Decid,
White birch leading - mixedwood::5C::PLVI,White birch leading - mixedwood,5C,PLVI,Mixedwood,
White birch leading - mixedwood::5D::PLVI,White birch leading - mixedwood,5D,PLVI,Mixedwood,
White birch leading - mixedwood::6D::PLVI,White birch leading - mixedwood,6D,PLVI,Mixedwood,
White birch leading - mixedwood::7D::PLVI,White birch leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
White birch MixCD::m::ABMICutblock,White birch MixCD,m,ABMICutblock,Mixedwood,
