VEGHFAGE_FINE,VEGHFAGE,AGE,VEGHF,VEGHF_FINE,IS_HF,ETA_UseInAnalysis,ETA_UseInAnalysis_Sector,StepBack,PolyReclass
TreedBog4,TreedBog4,TreedBog4,4,TreedBog,TreedBog,FALSE,BlackSpruce4,NATIVE,Wetland-BSpr4,BlackSpruce60
TreedBog5,TreedBog5,TreedBog5,5,TreedBog,TreedBog,FALSE,BlackSpruce5,NATIVE,Wetland-BSpr5,BlackSpruce80
TreedBog6,TreedBog6,TreedBog6,6,TreedBog,TreedBog,FALSE,BlackSpruce6,NATIVE,Wetland-BSpr6,BlackSpruce100
TreedBog7,TreedBog7,TreedBog7,7,TreedBog,TreedBog,FALSE,BlackSpruce7,NATIVE,Wetland-BSpr7,BlackSpruce120
TreedBog8,TreedBog8,TreedBog8,8,TreedBog,TreedBog,FALSE,BlackSpruce8,NATIVE,Wetland-BSpr8,BlackSpruce140
TreedBog9,TreedBog9,TreedBog9,9,TreedBog,TreedBog,FALSE,BlackSpruce8,NATIVE,Wetland-BSpr9,BlackSpruce140
TreedFen0,TreedFen0,TreedBog0,NA,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch0,Larch80
TreedFenR,TreedFenR,TreedBogR,R,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-LarchR,Larch0
TreedFen1,TreedFen1,TreedBog1,1,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch1,Larch10
TreedFen2,TreedFen2,TreedBog2,2,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch2,Larch20
TreedFen3,TreedFen3,TreedBog3,3,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch3,Larch40
TreedFen4,TreedFen4,TreedBog4,4,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch4,Larch60
TreedFen5,TreedFen5,TreedBog5,5,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch5,Larch80
TreedFen6,TreedFen6,TreedBog6,6,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch6,Larch100
TreedFen7,TreedFen7,TreedBog7,7,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch7,Larch120
TreedFen8,TreedFen8,TreedBog8,8,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch8,Larch140
TreedFen9,TreedFen9,TreedBog9,9,TreedFen,TreedFen,FALSE,TreedFen,NATIVE,Wetland-Larch9,Larch140
TreedSwamp0,TreedSwamp0,TreedSwamp,NA,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwampR,TreedSwampR,TreedSwamp,R,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp1,TreedSwamp1,TreedSwamp,1,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp2,TreedSwamp2,TreedSwamp,2,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp3,TreedSwamp3,TreedSwamp,3,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp4,TreedSwamp4,TreedSwamp,4,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp5,TreedSwamp5,TreedSwamp,5,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp6,TreedSwamp6,TreedSwamp,6,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp7,TreedSwamp7,TreedSwamp,7,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp8,TreedSwamp8,TreedSwamp,8,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
TreedSwamp9,TreedSwamp9,TreedSwamp,9,TreedSwamp,TreedSwamp,FALSE,TreeShrubSwamp,NATIVE,Swamp,Swamp
GrassHerb,GrassHerb,GrassHerb,NA,GrassHerb,GrassHerb,FALSE,Grass,NATIVE,GrassHerb,GrassHerb
Shrub,Shrub,Shrub,NA,Shrub,Shrub,FALSE,Shrub,NATIVE,Shrub,Shrub
GraminoidFen,GraminoidFen,GraminoidFen,NA,GraminoidFen,GraminoidFen,FALSE,NonTreeFenMarsh,NATIVE,WetGrassHerb,WetGrass
Marsh,Marsh,Marsh,NA,Marsh,Marsh,FALSE,NonTreeFenMarsh,NATIVE,WetGrassHerb,WetGrass
ShrubbyBog,ShrubbyBog,ShrubbyBog,NA,ShrubbyBog,ShrubbyBog,FALSE,BlackSpruceR,NATIVE,WetShrub,WetShrub
ShrubbyFen,ShrubbyFen,ShrubbyFen,NA,ShrubbyFen,ShrubbyFen,FALSE,NonTreeFenMarsh,NATIVE,WetShrub,WetShrub
ShrubbySwamp,ShrubbySwamp,ShrubbySwamp,NA,ShrubbySwamp,ShrubbySwamp,FALSE,TreeShrubSwamp,NATIVE,WetShrub,WetShrub
Bare,Bare,Bare,NA,Bare,Bare,FALSE,Bare,NATIVE,NonVeg,NonVeg
SnowIce,SnowIce,SnowIce,NA,SnowIce,SnowIce,FALSE,SnowIce,NATIVE,NonVeg,NonVeg
