ID,is_HF,is_water,is_road,Levels1,Levels2,Levels3,Levels4,UseInAnalysisCoarse,UseInAnalysisFine,Sector61,SuccAlien,NonlinLin,UseInReporting,Sector,Description,SOIL1,SOIL1v,Sector2,PolyReclass
OtherDisturbedVegetation,TRUE,FALSE,FALSE,,,,,UrbInd,UrbInd,Misc,Alien,Nonlin,"Urban, Rural & Industrial",Misc,"Recreation areas and other vegetated areas created for human use, including golf courses, grave yards, vegetated edges of airports, sometimes along roads and any other disturbed areas that have recovered vegetation ",UrbInd,UrbInd,MiscHF,UrbInd
PeatMine,TRUE,FALSE,FALSE,,,,,UrbInd,UrbInd,Misc,Alien,Nonlin,"Mines, Wells & Other Energy Features",Misc,Area where vegetation is disturbed ,UrbInd,UrbInd,MineWell,Zero
Pipeline,TRUE,FALSE,FALSE,,,,,SoftLin,EnSoftLin,Energy,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,XXX,XXX,EnergySoftLin,SoftLin
RailHardSurface,TRUE,FALSE,TRUE,,,,,HardLin,HardLin,Transportation,Alien,Lin,Transportation,Transportation,Usually gravel ,XXX,XXX,Transportation,Zero
RailVegetatedVerge,TRUE,FALSE,TRUE,,,,,SoftLin,TrSoftLin,Transportation,Succ,Lin,Transportation,Transportation,Vegetated strips along railways ,XXX,XXX,Transportation,SoftLin
Reservoirs,TRUE,TRUE,FALSE,,,,,HWater,HWater,Misc,Alien,Nonlin,Human-created Water Bodies,Misc,Man-made lake ,XXX,XXX,MiscHF,HWater
RoadHardSurface,TRUE,FALSE,TRUE,,,,,HardLin,HardLin,Transportation,Alien,Lin,Transportation,Transportation,Paved or gravel ,XXX,XXX,Transportation,Zero
RoadTrailVegetated,TRUE,FALSE,TRUE,,,,,SoftLin,TrSoftLin,Transportation,Succ,Lin,Transportation,Transportation,Road/Trail without gravel or pavement ,XXX,XXX,Transportation,SoftLin
RoadVegetatedVerge,TRUE,FALSE,TRUE,,,,,SoftLin,TrSoftLin,Transportation,Succ,Lin,Transportation,Transportation,Vegetated strips along paved/gravel roads ,XXX,XXX,Transportation,SoftLin
RuralResidentialIndustrial,TRUE,FALSE,FALSE,,,,,UrbInd,UrbInd,RuralUrban,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,Small rural development (confounded with rural industrial development) ,UrbInd,UrbInd,RuralUrban,UrbInd
SeismicLineNarrow,TRUE,FALSE,FALSE,,,,,SoftLin,EnSeismic,Energy,Succ,Lin,,,,,,,SoftLin
SeismicLineWide,TRUE,FALSE,FALSE,,,,,SoftLin,EnSeismic,Energy,Succ,Lin,,,,,,,SoftLin
TransmissionLine,TRUE,FALSE,FALSE,,,,,SoftLin,EnSoftLin,Energy,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,XXX,XXX,EnergySoftLin,SoftLin
UrbanIndustrial,TRUE,FALSE,FALSE,,,,,UrbInd,UrbInd,RuralUrban,Succ,Nonlin,,,,,,,UrbInd
UrbanResidence,TRUE,FALSE,FALSE,,,,,UrbInd,UrbInd,RuralUrban,Succ,Nonlin,,,,,,,UrbInd
WellSite,TRUE,FALSE,FALSE,,,,,UrbInd,Well,Energy,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Well pads created by the energy industry ,UrbInd,UrbInd,MineWell,UrbInd
WindGenerationFacility,TRUE,FALSE,FALSE,,,,,UrbInd,UrbInd,Energy,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Area around the windmill ,UrbInd,UrbInd,MineWell,UrbInd
