ID,UseInAnalysis,Sector,SectorFine,UseAvail
CCPineR,CCPineR,Forestry,Forestry,Forestry
CCPine1,CCPine1,Forestry,Forestry,Forestry
CCPine2,CCPine2,Forestry,Forestry,Forestry
CCPine3,CCPine3,Forestry,Forestry,Forestry
CCPine4,CCPine4,Forestry,Forestry,Forestry
CCSpruceR,CCSpruceR,Forestry,Forestry,Forestry
CCSpruce1,CCSpruce1,Forestry,Forestry,Forestry
CCSpruce2,CCSpruce2,Forestry,Forestry,Forestry
CCSpruce3,CCSpruce3,Forestry,Forestry,Forestry
CCSpruce4,CCSpruce4,Forestry,Forestry,Forestry
Decid0,Decid0,Native,Native,EXCLUDE
Spruce0,Spruce0,Native,Native,EXCLUDE
Pine0,Pine0,Native,Native,EXCLUDE
Mixedwood0,Mixedwood0,Native,Native,EXCLUDE
TreedSwamp0,TreedSwamp,Native,Native,EXCLUDE
TreedBog0,TreedBog0,Native,Native,EXCLUDE
TreedFen0,TreedFen0,Native,Native,EXCLUDE
