"Value","RelAbund","Difference","Intactness","Richness","Uniqueness"
83,"#F67F51","#FBE1ED","#3AD33D","#A48909","#FFAD05"
84,"#F47B4F","#FBE1EC","#37D03B","#9F8209","#FFA305"
85,"#F3764C","#FAE2EB","#35CD38","#997A0A","#FF9905"
86,"#F1714A","#F9E2EA","#33CA36","#93730A","#FF8F05"
87,"#EF6D47","#F9E3EA","#30C833","#8E6C0B","#FF8505"
88,"#ED6845","#F8E3E9","#2EC530","#88640C","#FF7B05"
89,"#EB6342","#F8E4E8","#2CC22E","#825D0C","#FF7105"
90,"#E95E40","#F7E4E7","#29BF2B","#7D560D","#FF6705"
91,"#E75A3D","#F6E5E6","#27BC29","#774E0D","#FF5E05"
92,"#E5553B","#F6E6E6","#24BA26","#72470E","#FF5405"
93,"#E45038","#F5E6E5","#22B724","#6C400E","#FF4A05"
94,"#E24C36","#F5E7E4","#20B421","#66380F","#FF4005"
95,"#E04733","#F4E7E3","#1DB11E","#613110","#FF3605"
96,"#DE4231","#F4E8E3","#1BAF1C","#5B2A10","#FF2C05"
97,"#DC3E2E","#F3E8E2","#19AC19","#552211","#FF2205"
98,"#DA392C","#F2E9E1","#16A917","#501B11","#FF1805"
99,"#D83429","#F2E9E0","#14A614","#4A1412","#FF0E05"
100,"#D73027","#F1EADF","#12A412","#450D13","#FF0506"
101,"","#F1EADF","","",""
102,"","#F0EBDE","","",""
103,"","#F0EBDD","","",""
104,"","#EFECDC","","",""
105,"","#EEECDB","","",""
106,"","#EEEDDB","","",""
107,"","#EDEDDA","","",""
108,"","#EDEED9","","",""
109,"","#ECEED8","","",""
110,"","#ECEFD8","","",""
111,"","#EBF0D7","","",""
112,"","#EAF0D6","","",""
113,"","#EAF1D5","","",""
114,"","#E9F1D4","","",""
115,"","#E9F2D4","","",""
116,"","#E8F2D3","","",""
117,"","#E7F3D2","","",""
118,"","#E7F3D1","","",""
119,"","#E6F4D1","","",""
120,"","#E6F4D0","","",""
121,"","#E4F4CE","","",""
122,"","#E3F3CB","","",""
123,"","#E1F3C9","","",""
124,"","#DFF2C6","","",""
125,"","#DEF1C4","","",""
126,"","#DCF0C1","","",""
127,"","#DAF0BF","","",""
128,"","#D8EFBC","","",""
129,"","#D7EEB9","","",""
130,"","#D5EDB7","","",""
131,"","#D3EDB4","","",""
132,"","#D1ECB2","","",""
133,"","#D0EBAF","","",""
134,"","#CEEAAD","","",""
135,"","#CCE9AA","","",""
136,"","#CAE9A8","","",""
137,"","#C9E8A5","","",""
138,"","#C7E7A2","","",""
139,"","#C5E6A0","","",""
140,"","#C4E69D","","",""
141,"","#C2E59B","","",""
142,"","#C0E498","","",""
143,"","#BEE396","","",""
144,"","#BDE393","","",""
145,"","#BBE290","","",""
146,"","#B9E18E","","",""
147,"","#B7E08B","","",""
148,"","#B6E089","","",""
149,"","#B4DF86","","",""
150,"","#B2DE84","","",""
151,"","#B0DD81","","",""
152,"","#AFDD7F","","",""
153,"","#ADDC7C","","",""
154,"","#ABDB79","","",""
155,"","#AADA77","","",""
156,"","#A8DA74","","",""
157,"","#A6D972","","",""
158,"","#A4D86F","","",""
159,"","#A3D76D","","",""
160,"","#A1D76A","","",""
161,"","#9FD568","","",""
162,"","#9DD366","","",""
163,"","#9BD264","","",""
164,"","#98D063","","",""
165,"","#96CE61","","",""
166,"","#94CC5F","","",""
167,"","#92CB5D","","",""
168,"","#90C95B","","",""
169,"","#8EC759","","",""
170,"","#8CC658","","",""
171,"","#8AC456","","",""
172,"","#88C254","","",""
173,"","#85C052","","",""
174,"","#83BF50","","",""
175,"","#81BD4E","","",""
176,"","#7FBB4D","","",""
177,"","#7DB94B","","",""
178,"","#7BB849","","",""
179,"","#79B647","","",""
180,"","#77B445","","",""
181,"","#75B243","","",""
182,"","#72B142","","",""
183,"","#70AF40","","",""
184,"","#6EAD3E","","",""
185,"","#6CAC3C","","",""
186,"","#6AAA3A","","",""
187,"","#68A838","","",""
188,"","#66A637","","",""
189,"","#64A535","","",""
190,"","#62A333","","",""
191,"","#5FA131","","",""
192,"","#5D9F2F","","",""
193,"","#5B9E2D","","",""
194,"","#599C2C","","",""
195,"","#579A2A","","",""
196,"","#559828","","",""
197,"","#539726","","",""
198,"","#519524","","",""
199,"","#4F9322","","",""
200,"","#4D9221","","",""
